example_id,clean_customer_message,customer_message,support_response,intent,expected_escalation,notes
2652,"Sometimes it just slows down and then goes all fast , then some days it just shuts off on me.","@AppleSupport Sometimes it just slows down and then goes all fast , then some days it just shuts off on me.",@140676 OK. Let us know in DM if this only happens when you are using the keyboard to type or it this also happens in other instances. Please also let us know the exact iOS version seen in Settings &gt; General &gt; About. https://t.co/GDrqU22YpT,device_slow_freezing_crashing,yes,slow and shuts off
1741,So annoyed when my Apple Watch tells me to stand so I stand and move around for more than a minute but it still doesn’t want to count. Ahh what more do I need to do,So annoyed when my Apple Watch tells me to stand so I stand and move around for more than a minute but it still doesn’t want to count. Ahh what more do I need to do @AppleSupport,@132698 We'd be happy to help you with this.  Let us know in DM the Apple Watch you're currently using and what version of watchOS is installed. https://t.co/GDrqU22YpT,apple_watch_issue,no,tracking issue
2607,"hi, since upgrading iOS I can no longer take screenshots. Has this feature been removed?","@AppleSupport hi, since upgrading iOS I can no longer take screenshots. Has this feature been removed?","@140211 Hello. The feature is still available. Which device and software version are you using? Also, what happens while trying to take a screenshot?",app_or_feature_issue,no,screenshot issue
1456,I hate the update to the podcast app on iOS11. The interface is really confusing and unorganized,I hate the update to the podcast app on iOS11. The interface is really confusing and unorganized @115858 @318,@128894 We value your opinion. Feel free to provide your feedback here: https://t.co/eTPVYVFyd8,app_or_feature_issue,no,podcast app Interface Issue
2165,UK,@AppleSupport UK,"@136102 For the best assistance regarding your order status and location, call our Apple Online Store team directly at 0800 048 0408. Lines are open Monday-Friday 08:00-20:00 and Saturday-Sunday 09:00-18:00. Or use: https://t.co/Di7GEfZgJi 
Other questions? DM us. https://t.co/GDrqU22YpT",other_or_unclear,yes,unclear 
103,I have and my battery life has become even worse,@AppleSupport @116860 I have and my battery life has become even worse,@116861 Let's look into this further in DM. https://t.co/GDrqU22YpT,battery_charging_issue,no,battery drain
355,I’m going to need you guys to fix my iMessage and FaceTime..it’s not activating...spent an hour on the phone with support,@115858 I’m going to need you guys to fix my iMessage and FaceTime..it’s not activating...spent an hour on the phone with support,"@119360 Thank you for reaching out. We are here to help. Please DM us, and we will continue from there. https://t.co/GDrqU22YpT",imessage_facetime_issue,yes,activation
683,When will fix the problem with activation (error 0xE8000013)? Or your phones are now disposable?,@AppleSupport When will fix the problem with activation (error 0xE8000013)? Or your phones are now disposable?,@123523 Let's explore this in more details. Which device is exact iOS version are you using? When are you receiving this error?,ios_update_issue,yes,activation issue
2860,"Yes, I even tried to add another control and its icon appeared on top of the ones that overlap in the bottom left corner.","@AppleSupport Yes, I even tried to add another control and its icon appeared on top of the ones that overlap in the bottom left corner.",@142511 Thanks for that info. Let's go ahead and get to DM so we'll have more room to work and can collect some more information on this. https://t.co/GDrqU22YpT,app_or_feature_issue,no,icon overlap issue
189,Ayo fix this whole question mark box ting dem shits annoying.,Ayo @AppleSupport fix this whole question mark box ting dem shits annoying.,"@117652 Hi, can you tell us more about this in a DM? We'll look into this together from there. https://t.co/GDrqU22YpT",keyboard_autocorrect_issue,no,symbol issue
2120,my keyboard for my new iPad pro isn’t working. I often have to take these two apart to re-engage. Assuming that’s not how it is supposed to work!? Please help thanks,@AppleSupport my keyboard for my new iPad pro isn’t working. I often have to take these two apart to re-engage. Assuming that’s not how it is supposed to work!? Please help thanks https://t.co/JpM5wO84JM,@136071 Let's help get your Smart Keyboard functioning as expected. What's the version of iOS installed on the iPad Pro? Does the issue persist after rebooting the iPad Pro as well?,keyboard_autocorrect_issue,no,ipad keyboard not working properly
1322,"With the new update, turning on wi-fi disables data and we have to manually go through settings and turn it back on ! :( Help","@AppleSupport With the new update, turning on wi-fi disables data and we have to manually go through settings and turn it back on !  :( Help",@127928 We'd like to learn more about this situation. Send us a DM with all the details you can provide. https://t.co/GDrqU22YpT,wifi_mobile_data_issue,no,wifi issue
2655,"I have a problem when playing some songs that I have downloaded on my iPhone, I can not do it because it sends me to choose an Apole Music plan. Help","@AppleSupport I have a problem when playing some songs that I have downloaded on my iPhone, I can not do it because it sends me to choose an Apole Music plan. Help https://t.co/zVKA3bUcaJ",@140677 Thank you for showing us that video. Let's see if we can get to the bottom of this. How do you get your music to your iPhone? Is it purchased through the iTunes Store or synced with a computer? How were the songs that won't play placed on your iPhone?,app_or_feature_issue,no,music not playing  
613,"(Saurabh at Singapore, kindly get in touch with your team to brief what you said, they are coming up with new stories #macbook","@AppleSupport (Saurabh at Singapore, kindly get in touch with your team to brief what you said, they are coming up with new stories #macbook",@123376 We'd like to hear more about this complaint. DM us with more details at the link below please. https://t.co/GDrqU22YpT,other_or_unclear,yes,unclear 
