failure_type,details
intent_confusion,Actual intent 'app_or_feature_issue' was predicted as 'other_or_unclear' 12 time(s).
intent_confusion,Actual intent 'other_or_unclear' was predicted as 'app_or_feature_issue' 11 time(s).
intent_confusion,Actual intent 'ios_update_issue' was predicted as 'other_or_unclear' 8 time(s).
intent_confusion,Actual intent 'other_or_unclear' was predicted as 'ios_update_issue' 7 time(s).
intent_confusion,Actual intent 'app_or_feature_issue' was predicted as 'ios_update_issue' 6 time(s).
intent_confusion,Actual intent 'app_or_feature_issue' was predicted as 'device_slow_freezing_crashing' 6 time(s).
intent_confusion,Actual intent 'battery_charging_issue' was predicted as 'other_or_unclear' 4 time(s).
intent_confusion,Actual intent 'other_or_unclear' was predicted as 'device_slow_freezing_crashing' 3 time(s).
intent_confusion,Actual intent 'keyboard_autocorrect_issue' was predicted as 'other_or_unclear' 2 time(s).
intent_confusion,Actual intent 'apple_id_account_issue' was predicted as 'app_or_feature_issue' 2 time(s).
intent_confusion,Actual intent 'battery_charging_issue' was predicted as 'device_slow_freezing_crashing' 2 time(s).
intent_confusion,Actual intent 'apple_id_account_issue' was predicted as 'device_slow_freezing_crashing' 1 time(s).
intent_confusion,Actual intent 'battery_charging_issue' was predicted as 'app_or_feature_issue' 1 time(s).
intent_confusion,Actual intent 'app_or_feature_issue' was predicted as 'keyboard_autocorrect_issue' 1 time(s).
intent_confusion,Actual intent 'app_or_feature_issue' was predicted as 'apple_id_account_issue' 1 time(s).
intent_confusion,Actual intent 'app_or_feature_issue' was predicted as 'apple_watch_issue' 1 time(s).
intent_confusion,Actual intent 'app_or_feature_issue' was predicted as 'wifi_mobile_data_issue' 1 time(s).
intent_confusion,Actual intent 'battery_charging_issue' was predicted as 'ios_update_issue' 1 time(s).
intent_confusion,Actual intent 'ios_update_issue' was predicted as 'device_slow_freezing_crashing' 1 time(s).
intent_confusion,Actual intent 'ios_update_issue' was predicted as 'app_or_feature_issue' 1 time(s).
intent_confusion,Actual intent 'device_slow_freezing_crashing' was predicted as 'other_or_unclear' 1 time(s).
