intent,predicted_intent,count
app_or_feature_issue,other_or_unclear,12
other_or_unclear,app_or_feature_issue,11
ios_update_issue,other_or_unclear,8
other_or_unclear,ios_update_issue,7
app_or_feature_issue,ios_update_issue,6
app_or_feature_issue,device_slow_freezing_crashing,6
battery_charging_issue,other_or_unclear,4
other_or_unclear,device_slow_freezing_crashing,3
keyboard_autocorrect_issue,other_or_unclear,2
apple_id_account_issue,app_or_feature_issue,2
battery_charging_issue,device_slow_freezing_crashing,2
apple_id_account_issue,device_slow_freezing_crashing,1
battery_charging_issue,app_or_feature_issue,1
app_or_feature_issue,keyboard_autocorrect_issue,1
app_or_feature_issue,apple_id_account_issue,1
app_or_feature_issue,apple_watch_issue,1
app_or_feature_issue,wifi_mobile_data_issue,1
battery_charging_issue,ios_update_issue,1
ios_update_issue,device_slow_freezing_crashing,1
ios_update_issue,app_or_feature_issue,1
device_slow_freezing_crashing,other_or_unclear,1
device_slow_freezing_crashing,ios_update_issue,1
other_or_unclear,battery_charging_issue,1
keyboard_autocorrect_issue,app_or_feature_issue,1
other_or_unclear,imessage_facetime_issue,1
wifi_mobile_data_issue,ios_update_issue,1
