example_id,clean_customer_message,customer_message,support_response,intent,expected_escalation,notes,predicted_intent,predicted_escalation,intent_confidence,top_retrieval_similarity,escalation_reason
2607,"hi, since upgrading iOS I can no longer take screenshots. Has this feature been removed?","@AppleSupport hi, since upgrading iOS I can no longer take screenshots. Has this feature been removed?","@140211 Hello. The feature is still available. Which device and software version are you using? Also, what happens while trying to take a screenshot?",app_or_feature_issue,no,screenshot issue,other_or_unclear,yes,0.2080164827448379,0.9691858291625975,Customer message does not provide a clear issue.
1456,I hate the update to the podcast app on iOS11. The interface is really confusing and unorganized,I hate the update to the podcast app on iOS11. The interface is really confusing and unorganized @115858 @318,@128894 We value your opinion. Feel free to provide your feedback here: https://t.co/eTPVYVFyd8,app_or_feature_issue,no,podcast app Interface Issue,app_or_feature_issue,yes,0.3122117319790396,0.976230800151825,Intent confidence is low.
2860,"Yes, I even tried to add another control and its icon appeared on top of the ones that overlap in the bottom left corner.","@AppleSupport Yes, I even tried to add another control and its icon appeared on top of the ones that overlap in the bottom left corner.",@142511 Thanks for that info. Let's go ahead and get to DM so we'll have more room to work and can collect some more information on this. https://t.co/GDrqU22YpT,app_or_feature_issue,no,icon overlap issue,other_or_unclear,yes,0.2682195771146528,0.9257038831710817,Customer message does not provide a clear issue.
2120,my keyboard for my new iPad pro isn’t working. I often have to take these two apart to re-engage. Assuming that’s not how it is supposed to work!? Please help thanks,@AppleSupport my keyboard for my new iPad pro isn’t working. I often have to take these two apart to re-engage. Assuming that’s not how it is supposed to work!? Please help thanks https://t.co/JpM5wO84JM,@136071 Let's help get your Smart Keyboard functioning as expected. What's the version of iOS installed on the iPad Pro? Does the issue persist after rebooting the iPad Pro as well?,keyboard_autocorrect_issue,no,ipad keyboard not working properly,keyboard_autocorrect_issue,yes,0.240889031991063,0.959011971950531,Intent confidence is low.
2655,"I have a problem when playing some songs that I have downloaded on my iPhone, I can not do it because it sends me to choose an Apole Music plan. Help","@AppleSupport I have a problem when playing some songs that I have downloaded on my iPhone, I can not do it because it sends me to choose an Apole Music plan. Help https://t.co/zVKA3bUcaJ",@140677 Thank you for showing us that video. Let's see if we can get to the bottom of this. How do you get your music to your iPhone? Is it purchased through the iTunes Store or synced with a computer? How were the songs that won't play placed on your iPhone?,app_or_feature_issue,no,music not playing  ,app_or_feature_issue,yes,0.2650720037201319,0.9594541788101196,Intent confidence is low.
2128,The latest iOS update and its plug in with the official cable and plug but it doesn’t show the percentage go up until I reboot my phone and it changes,@AppleSupport The latest iOS update and its plug in with the official cable and plug but it doesn’t show the percentage go up until I reboot my phone and it changes,"@136075 Got it. Check out the steps in this link https://t.co/uqxquyfdn0 under 'If your device charges slowly or won’t charge', and let us know the result in DM: https://t.co/GDrqU22YpT",battery_charging_issue,no,battery charging issue,ios_update_issue,yes,0.2840386153982255,0.971580684185028,Intent confidence is low.
1211,with the new update still having problem with (notes) fix it,@AppleSupport with the new update still having problem with (notes) fix it,@127400 We're always happy to help. What type of issues are you having with Notes?,app_or_feature_issue,no,notes issues in new update,keyboard_autocorrect_issue,yes,0.226428007819097,0.7968217134475708,Intent confidence is low.
2004,The last upgrade really messed up my macbook. It works way too slower and spends 10%~/h charge. Is it normal?,@AppleSupport The last upgrade really messed up my macbook. It works way too slower and spends 10%~/h charge. Is it normal?,"@135605 We're here to help! For the battery, we'd first recommend checking out this article: https://t.co/IS1pJIaZuf For the performance, how much RAM is in your computer? Which apps are open? Let us know in DM using the following link and we'll get started. https://t.co/GDrqU22YpT",battery_charging_issue,no,battery performance issue after update,device_slow_freezing_crashing,yes,0.2714654182709042,0.9428443908691406,Intent confidence is low.
1049,is there any cure for a MBP that doesn't want to go to sleep?,@AppleSupport is there any cure for a MBP that doesn't want to go to sleep?,@125417 We'd be happy to help. Do you have these settings applied to your MacBook? https://t.co/VT7bnvPnYj,app_or_feature_issue,no,,other_or_unclear,yes,0.2362357266655853,0.9161558747291564,Customer message does not provide a clear issue.
927,Anyone know how i fix this? I took these videos on Saturday and it just doesnt let me play any videos atall in my album 😤,Anyone know how i fix this? I took these videos on Saturday and it just doesnt let me play any videos atall in my album @AppleSupport 😤 https://t.co/Ouj3F2Qmu1,"@124864 We want you to be able to view your special moments. Just to clarify, this message appears in the Photos app, correct?",other_or_unclear,no,videos not playing,app_or_feature_issue,yes,0.3615404931969263,0.9469296336174012,Intent confidence is low.
2831,Just wanted to say thank you again for the quick response and help this morning!☺️ Amazing!!,@AppleSupport Just wanted to say thank you again for the quick response and help this morning!☺️ Amazing!!,"@142193 You're most welcome. Anytime you need assistance, we've got your back.",other_or_unclear,no,thankyou message,other_or_unclear,yes,0.3846791120961352,0.8571028709411621,Customer message does not provide a clear issue.
247,How do I get rid of this notification?,How do I get rid of this notification? @4305 @19762 @115858 @AppleSupport https://t.co/MF02cJYU5A,@118244 Let's see how we can help. Is that the message you see when trying to swipe the notification and get to the app?,app_or_feature_issue,no,notification issue,other_or_unclear,yes,0.3032758604662127,0.8622649908065796,Customer message does not provide a clear issue.
1432,Like my phone was just on a smooth 60% go on snap 20% or less warning wtf fix that shit !!!!!!,Like my phone was just on a smooth 60% go on snap 20% or less warning wtf @115858  fix that shit !!!!!!,"@128684 You've reached the right place for support. We know how important it is for your battery to last as long as possible and we're happy to help. To start, DM us with the country where you're located and model of iPhone you're using. https://t.co/GDrqU22YpT",battery_charging_issue,no,battery drain,other_or_unclear,yes,0.2629172252630202,0.9652720093727112,Customer message does not provide a clear issue.
2714,"Hello A friend of mine has trouble. He paid for a Swiss National Anthem file, sung by Red Army Choir: (Russian famous choir) and iTunes deleted the file from the library iCloud. How it is possible? cc","Hello @AppleSupport @118721 

A friend of mine has trouble. He paid for a Swiss National Anthem file, sung by Red Army Choir: (Russian famous choir) and iTunes deleted the file from the library &amp; iCloud. How it is possible?

cc @141099",@141098 Hey there! Thanks for reaching out to us about this. Shoot us a DM so we can get you pointed in the right direction. https://t.co/GDrqU22YpT,app_or_feature_issue,no,music file deleted,app_or_feature_issue,yes,0.43891944208417,0.9797770380973816,Intent confidence is low.
